Date,Canada,France,Germany,Italy,Japan,UK,US
Jan 2018,1.6,1.3,2.6,1.3,3.8,3.7,1.0
Feb 2018,1.4,0.8,0.6,-0.8,3.6,3.0,0.5
Mar 2018,0.5,1.6,2.6,0.5,2.2,3.0,0.4
Apr 2018,0.7,1.7,3.1,1.2,0.5,2.7,0.6
May 2018,-0.5,1.9,3.2,1.9,0.6,2.3,0.1
Jun 2018,0.1,2.0,3.3,2.4,0.4,2.0,0.4
Jul 2018,0.1,2.1,2.5,2.4,1.7,2.3,0.4
Aug 2018,0.3,2.3,2.3,2.2,2.6,2.5,0.5
Sept 2018,0.6,3.0,2.8,1.5,2.2,1.5,0.4
Oct 2018,1.1,2.3,1.8,0.7,3.0,0.9,0.1
Nov 2018,1.4,2.0,1.5,0.9,0.4,0.5,0.4
Dec 2018,2.5,2.6,1.0,0.8,-1.6,0.7,0.6
Jan 2019,2.5,2.9,0.7,0.7,-2.1,0.9,0.7
Feb 2019,3.4,3.1,1.3,1.7,-2.0,1.1,1.2
Mar 2019,4.0,2.4,0.5,1.1,-0.6,0.8,1.4
Apr 2019,3.0,2.4,0.5,0.4,0.7,0.7,0.7
May 2019,4.0,2.2,0.8,0.4,0.8,1.0,1.2
Jun 2019,3.9,2.5,1.0,0.3,1.7,1.6,0.9
Jul 2019,4.2,3.0,1.8,0.8,0.9,1.4,0.6
Aug 2019,3.9,3.2,2.3,0.9,0.0,1.8,0.5
Sept 2019,4.1,2.0,1.1,0.7,0.4,1.8,0.6
Oct 2019,4.1,1.7,0.9,0.8,0.3,1.3,1.0
Nov 2019,3.9,2.1,1.6,0.8,1.1,2.1,1.0
Dec 2019,3.2,2.1,1.9,0.8,1.6,1.7,0.7
Jan 2020,3.8,1.9,2.4,0.6,1.0,1.4,0.7
Feb 2020,2.4,1.8,3.2,0.3,1.0,1.2,0.8
Mar 2020,2.4,2.0,3.7,1.1,1.3,1.3,1.1
Apr 2020,4.0,4.1,4.7,2.8,2.4,1.3,4.1
May 2020,3.5,3.9,4.1,2.6,2.3,1.8,4.8
Jun 2020,3.0,2.8,3.8,2.4,1.5,1.1,5.7
Jul 2020,2.4,1.1,0.8,1.4,1.8,0.8,4.6
Aug 2020,1.6,0.8,0.4,1.1,2.5,0.4,4.6
Sept 2020,1.3,0.9,0.4,1.2,0.7,-0.1,4.1
Oct 2020,2.3,1.6,1.0,1.4,0.7,0.6,4.0
Nov 2020,1.6,2.2,1.1,1.3,-0.2,-0.6,3.6
Dec 2020,0.5,1.1,0.2,0.8,-0.8,-1.4,3.9
Jan 2021,0.1,1.0,1.8,0.7,-0.1,-0.7,3.7
Feb 2021,1.3,0.9,1.4,0.4,0.0,-0.6,3.6
Mar 2021,1.3,1.0,1.6,0.2,-0.4,-1.4,3.3
Apr 2021,0.1,-0.5,1.9,-0.5,-1.7,-0.4,1.2
May 2021,0.9,-0.5,1.4,-0.7,-1.3,-1.3,0.7
Jun 2021,0.7,-0.3,1.1,-0.6,-0.1,-0.6,0.9
Jul 2021,1.0,0.9,4.2,0.1,-0.9,-0.6,2.6
Aug 2021,2.6,1.4,4.5,0.8,-1.6,0.3,3.0
Sept 2021,4.2,1.1,4.7,1.1,0.9,0.8,4.5
Oct 2021,3.9,0.7,4.4,1.1,0.5,1.2,5.4
Nov 2021,4.7,0.4,4.5,1.5,1.6,2.5,6.4
Dec 2021,5.7,1.4,6.0,2.9,2.5,4.2,6.5
Jan 2022,6.5,1.7,4.9,3.6,2.4,4.3,7.3
Feb 2022,7.4,2.3,5.1,4.8,3.3,5.1,8.6
Mar 2022,8.7,3.2,5.9,5.8,4.0,5.9,10.0
Apr 2022,9.7,4.2,7.9,6.4,4.7,6.7,10.8
May 2022,9.7,4.6,10.5,7.4,4.7,8.6,12.0
Jun 2022,9.4,6.3,12.0,9.0,4.1,9.8,12.2
Jul 2022,9.9,7.2,13.8,10.0,4.9,12.6,13.1
Aug 2022,10.8,8.4,15.3,10.5,5.1,13.1,13.5
Sept 2022,11.4,10.6,17.4,11.7,4.5,14.5,12.9
Oct 2022,11.0,12.9,18.9,13.5,6.4,16.2,12.4
Nov 2022,11.4,13.0,19.5,13.6,7.2,16.4,12.0
Dec 2022,11.0,12.9,19.4,13.1,7.2,16.8,11.9
Jan 2023,11.4,14.2,19.2,12.6,7.5,16.7,11.4
Feb 2023,10.6,15.8,20.7,13.2,7.7,18.0,10.1
Mar 2023,9.7,16.9,21.2,13.2,8.0,19.1,8.3
