"FREQ","Frequency","REF_AREA","Reference area","Time Period","1927-Q1","1927-Q2","1927-Q3","1927-Q4","1928-Q1","1928-Q2","1928-Q3","1928-Q4","1929-Q1","1929-Q2","1929-Q3","1929-Q4","1930-Q1","1930-Q2","1930-Q3","1930-Q4","1931-Q1","1931-Q2","1931-Q3","1931-Q4","1932-Q1","1932-Q2","1932-Q3","1932-Q4","1933-Q1","1933-Q2","1933-Q3","1933-Q4","1934-Q1","1934-Q2","1934-Q3","1934-Q4","1935-Q1","1935-Q2","1935-Q3","1935-Q4","1936-Q1","1936-Q2","1936-Q3","1936-Q4","1937-Q1","1937-Q2","1937-Q3","1937-Q4","1938-Q1","1938-Q2","1938-Q3","1938-Q4","1939-Q1","1939-Q2","1939-Q3","1939-Q4","1940-Q1","1940-Q2","1940-Q3","1940-Q4","1941-Q1","1941-Q2","1941-Q3","1941-Q4","1942-Q1","1942-Q2","1942-Q3","1942-Q4","1943-Q1","1943-Q2","1943-Q3","1943-Q4","1944-Q1","1944-Q2","1944-Q3","1944-Q4","1945-Q1","1945-Q2","1945-Q3","1945-Q4","1946-Q1","1946-Q2","1946-Q3","1946-Q4","1947-Q1","1947-Q2","1947-Q3","1947-Q4","1948-Q1","1948-Q2","1948-Q3","1948-Q4","1949-Q1","1949-Q2","1949-Q3","1949-Q4","1950-Q1","1950-Q2","1950-Q3","1950-Q4","1951-Q1","1951-Q2","1951-Q3","1951-Q4","1952-Q1","1952-Q2","1952-Q3","1952-Q4","1953-Q1","1953-Q2","1953-Q3","1953-Q4","1954-Q1","1954-Q2","1954-Q3","1954-Q4","1955-Q1","1955-Q2","1955-Q3","1955-Q4","1956-Q1","1956-Q2","1956-Q3","1956-Q4","1957-Q1","1957-Q2","1957-Q3","1957-Q4","1958-Q1","1958-Q2","1958-Q3","1958-Q4","1959-Q1","1959-Q2","1959-Q3","1959-Q4","1960-Q1","1960-Q2","1960-Q3","1960-Q4","1961-Q1","1961-Q2","1961-Q3","1961-Q4","1962-Q1","1962-Q2","1962-Q3","1962-Q4","1963-Q1","1963-Q2","1963-Q3","1963-Q4","1964-Q1","1964-Q2","1964-Q3","1964-Q4","1965-Q1","1965-Q2","1965-Q3","1965-Q4","1966-Q1","1966-Q2","1966-Q3","1966-Q4","1967-Q1","1967-Q2","1967-Q3","1967-Q4","1968-Q1","1968-Q2","1968-Q3","1968-Q4","1969-Q1","1969-Q2","1969-Q3","1969-Q4","1970-Q1","1970-Q2","1970-Q3","1970-Q4","1971-Q1","1971-Q2","1971-Q3","1971-Q4","1972-Q1","1972-Q2","1972-Q3","1972-Q4","1973-Q1","1973-Q2","1973-Q3","1973-Q4","1974-Q1","1974-Q2","1974-Q3","1974-Q4","1975-Q1","1975-Q2","1975-Q3","1975-Q4","1976-Q1","1976-Q2","1976-Q3","1976-Q4","1977-Q1","1977-Q2","1977-Q3","1977-Q4","1978-Q1","1978-Q2","1978-Q3","1978-Q4","1979-Q1","1979-Q2","1979-Q3","1979-Q4","1980-Q1","1980-Q2","1980-Q3","1980-Q4","1981-Q1","1981-Q2","1981-Q3","1981-Q4","1982-Q1","1982-Q2","1982-Q3","1982-Q4","1983-Q1","1983-Q2","1983-Q3","1983-Q4","1984-Q1","1984-Q2","1984-Q3","1984-Q4","1985-Q1","1985-Q2","1985-Q3","1985-Q4","1986-Q1","1986-Q2","1986-Q3","1986-Q4","1987-Q1","1987-Q2","1987-Q3","1987-Q4","1988-Q1","1988-Q2","1988-Q3","1988-Q4","1989-Q1","1989-Q2","1989-Q3","1989-Q4","1990-Q1","1990-Q2","1990-Q3","1990-Q4","1991-Q1","1991-Q2","1991-Q3","1991-Q4","1992-Q1","1992-Q2","1992-Q3","1992-Q4","1993-Q1","1993-Q2","1993-Q3","1993-Q4","1994-Q1","1994-Q2","1994-Q3","1994-Q4","1995-Q1","1995-Q2","1995-Q3","1995-Q4","1996-Q1","1996-Q2","1996-Q3","1996-Q4","1997-Q1","1997-Q2","1997-Q3","1997-Q4","1998-Q1","1998-Q2","1998-Q3","1998-Q4","1999-Q1","1999-Q2","1999-Q3","1999-Q4","2000-Q1","2000-Q2","2000-Q3","2000-Q4","2001-Q1","2001-Q2","2001-Q3","2001-Q4","2002-Q1","2002-Q2","2002-Q3","2002-Q4","2003-Q1","2003-Q2","2003-Q3","2003-Q4","2004-Q1","2004-Q2","2004-Q3","2004-Q4","2005-Q1","2005-Q2","2005-Q3","2005-Q4","2006-Q1","2006-Q2","2006-Q3","2006-Q4","2007-Q1","2007-Q2","2007-Q3","2007-Q4","2008-Q1","2008-Q2","2008-Q3","2008-Q4","2009-Q1","2009-Q2","2009-Q3","2009-Q4","2010-Q1","2010-Q2","2010-Q3","2010-Q4","2011-Q1","2011-Q2","2011-Q3","2011-Q4","2012-Q1","2012-Q2","2012-Q3","2012-Q4","2013-Q1","2013-Q2","2013-Q3","2013-Q4","2014-Q1","2014-Q2","2014-Q3","2014-Q4","2015-Q1","2015-Q2","2015-Q3","2015-Q4","2016-Q1","2016-Q2","2016-Q3","2016-Q4","2017-Q1","2017-Q2","2017-Q3","2017-Q4","2018-Q1","2018-Q2","2018-Q3","2018-Q4"
"Q","Quarterly","AU","Australia","Q:AU","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.8398","10.0197","10.2997","10.6197","10.9197","11.1697","11.5097","11.9497","12.2097","12.4197","12.7697","13.4597","13.8397","14.6596","15.8496","16.9496","18.0495","18.6595","18.8795","19.3295","19.7195","20.5395","21.1195","21.7395","22.5794","23.1094","23.0794","23.8294","24.4494","25.0294","25.1094","25.5694","26.2493","26.1693","26.2993","26.5893","28.0193","29.7793","30.4392","30.9692","31.6592","33.2792","34.3391","35.4991","37.7591","38.999","38.269","40.079","39.649","40.869","40.149","39.979","41.029","42.4689","42.1989","44.1389","45.5889","46.6588","48.5988","48.5388","51.0087","51.5187","52.6987","53.4687","54.6486","56.1286","54.5886","55.2186","55.8386","56.4586","57.4286","60.1885","62.8484","66.2183","72.6982","79.978","86.4578","88.1478","88.1478","88.4178","88.8578","89.6578","88.8578","89.3878","89.2978","90.3677","93.1177","93.1177","92.4977","92.7677","92.8477","93.7377","94.6276","95.2476","95.3376","96.2276","97.2876","98.4475","99.9575","99.5075","100.4875","99.7775","99.9575","99.7775","99.5975","100.8375","101.1975","101.4575","102.3474","103.6774","105.5474","107.5873","110.2472","112.6472","112.6472","114.5071","116.5571","119.217","121.437","125.4269","127.7368","130.7567","130.5767","133.6867","136.6166","141.4965","148.8663","154.4561","160.316","169.8558","176.9356","183.3954","188.3153","198.475","210.1547","218.0738","217.1601","215.0279","215.0279","218.6829","218.3784","219.9011","219.5966","223.8607","226.2971","234.5207","238.7848","243.0486","245.1808","256.1454","265.2824","275.3333","276.5516","274.1151","268.0237","264.3687","263.7596","274.7242","286.298","302.1358","311.5773","317.669","313.7095","315.5368","312.7958","310.6636","305.1813","302.7449","304.5722","305.7904","305.1813","311.8822","314.0141","321.9328","329.8519","342.9484","347.8216","354.5221","358.7862","366.0958","371.8827","389.2433","397.1624","397.7715","397.1624","405.0811","411.1725","428.2286","437.6704","446.1983","445.2846","449.5487","446.5028","443.4573","436.7567",""
"Q","Quarterly","BE","Belgium","Q:BE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.81","19.91","19.68","18.91","19.18","19.46","19.67","19.39","20.17","20.97","21.7","21.68","22.63","23.61","24.48","24.77","25.4","27.5","28.64","28.28","30.19","31.21","32.1","33.32","36.69","37.49","39.11","40.38","42.27","43.56","45.41","47.67","48.29","48.94","51.04","51.54","53.14","53.55","55.19","54.78","56.31","54.89","54.64","52.57","52.35","51.7","51.62","50.88","49.25","48.89","50.86","49.97","49.03","48.72","49.23","48.76","49.38","49.69","50.62","50.01","50.09","49.64","51.61","51.32","51.38","52.01","54.71","54.01","55.44","55.46","57.45","57.34","58.31","60.16","62.37","63","66.13","67.87","70.51","73.13","75.58","75.4","77.62","78.5","78.96","77.78","81.18","82.23","83.4","85.44","86.28","86.38","86.87","89.33","90.22","93.22","93.36","94.8","97.37","97.16","98.01","98.62","101.42","101.95","99.9","101.24","103.36","104.16","100.14","103.83","107.09","107.4","108.51","108.99","113.85","113.71","115.96","118.15","122.27","120.3","123.99","124.5","126.25","127.82","129.71","130.89","133.19","133.06","136.05","138.56","142.12","143.84","146.07","147.49","151.5","154.14","158.29","159.09","165.09","168.78","176.44","180.3902","186.8218","190.5187","194.2157","199.508","205.2813","206.8512","211.7382","215.9416","220.0436","220.9045","223.0568","226.2221","229.4632","228.197","225.2346","223.0568","228.2731","226.1207","228.6022","230.7293","235.1353","236.5278","238.1992","240.3768","245.1118","244.7068","246.4538","246.6817","249.4672","247.4414","249.0113","249.6697","252.759","250.252","245.6183","247.3148","250.5814","252.6577","246.6312","252.1005","257.646","256.4811","254.6328","257.646","264.1283","263.1915","265.9009","265.04","273.9277","272.5349","272.6364","275.3205","281.0431",""
"Q","Quarterly","CA","Canada","Q:CA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.55","14.55","14.67","15.09","15.21","15.39","15.33","16.11","16.46","16.46","16.7","17.48","18.38","19.34","20.78","22.75","25.15","26.28","26.04","26.1","27.48","28.38","29.28","30.48","31.79","32.15","32.21","33.41","33.71","33.83","33.71","34.67","34.55","35.56","35.5","37.18","38.44","39.28","39.1","40.83","41.43","43.11","44.88","47.72","49.54","49.92","51.19","51.92","49.81","47.72","46.82","47.83","51.1","51.07","50.42","50.6","50.55","50.84","49.9","50.52","51.58","52.78","53.04","55.29","58.51","61.46","62.51","66.82","72.45","71.58","71.58","75.5","82.49","84.25","85.09","92.01","101.25","92.52","94.7","100.12","98.33","91.75","92.24","92.98","97.47","100.93","95.25","96.4","98","98.76","99","101.14","102.01","102.01","99.76","100.99","105.53","104.65","103","104.23","101.42","98.84","99.79","99.95","98.74","100.86","99.47","100.04","101.22","103.77","101.96","101.83","100.88","101.75","99.73","101.15","101.66","105.64","104.72","106.24","106.76","108.84","108.61","109.75","109.45","114.15","114.47","115.97","121.06","125.82","124.76","128.72","131.49","135.82","138.7","142.77","145.19","151.9","148.33","154.02","159.0852","163.338","166.6457","169.6384","176.0963","186.0194","193.4224","196.5726","202.873","212.1661","216.8914","216.8914","219.4116","221.7742","218.4665","211.8511","204.9206","207.7558","213.7412","219.0965","226.027","229.6497","227.2871","226.027","230.1223","235.7926","237.6827","237.3677","240.6754","246.3458","246.3458","244.9282","246.5033","252.3312","254.2213","255.1664","259.8917","266.5071","268.5547","269.8148","273.7525","280.8405","285.0933","287.9285","296.434","313.9176","325.1008","329.8261","346.0497","368.1011","360.5406","358.6505","364.6359","371.7238","369.5187",""
"Q","Quarterly","CH","Switzerland","Q:CH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.2404","33.0571","34.128","34.1953","36.5641","36.4705","38.1002","38.8191","40.4089","42.9399","44.9371","47.2073","50.7305","50.3237","51.3787","50.647","50.4168","50.5344","50.8999","50.5326","48.6388","48.0262","47.5507","47.3353","46.2724","46.5196","46.0154","47.4216","47.3958","47.844","48.8656","48.7088","48.1836","49.3875","50.2438","51.7797","52.4423","52.4575","54.552","56.1964","58.4978","57.5407","58.8094","59.9171","62.4091","64.1916","64.6815","65.7468","67.4068","66.806","67.2791","68.2775","68.5074","69.5629","71.419","72.4112","73.496","75.1176","75.1256","75.6442","78.1821","77.7208","79.0319","79.8889","82.8488","81.9077","83.7028","84.3406","86.7496","88.6285","90.3604","92.4213","95.9603","98.7528","102.7679","107.436","110.5019","111.7785","113.314","115.8916","116.2177","116.2391","115.268","113.0342","112.5025","113.2979","115.9373","113.0737","111.6748","110.2777","107.3488","106.0494","104.5704","104.8723","102.6243","102.8021","104.4538","104.0984","103.5839","101.9945","101.3993","100.821","99.7899","97.9898","96.5491","96.1947","95.9913","93.2575","92.6726","91.609","91.746","90.7598","91.03","90.5056","90.8678","90.3867","90.9073","90.5885","90.4808","90.7536","90.4697","91.435","92.6995","92.4608","93.2681","94.0415","95.1925","95.75","98.2098","99.3314","101.131","102.6704","103.8861","104.7295","105.8343","105.2857","106.1466","107.4495","108.2845","108.0826","108.3116","108.681","109.9383","110.0697","110.8879","111.0086","111.5387","112.0907","113.5751","113.4316","113.9175","114.7398","115.4771","117.3921","118.6169","119.491","121.7478","123.663","125.218","127.3231","128.4935","129.7287","131.062","133.3311","134.5637","135.6396","136.261","139.5024","141.947","140.4928","142.9844","144.778","146.5339","147.7535","148.8252","149.9061","149.7459","150.8065","151.3924","151.548","152.9705","153.6829","153.7814","154.516","154.7206","154.7948","155.8899","156.5623","157.4492","157.6445","157.1535","157.8075","157.1838","156.6814","157.3336","156.4416"
"Q","Quarterly","DE","Germany","Q:DE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.8709","37.4884","37.869","38.3447","39.5817","41.4846","42.0555","42.1507","43.007","44.0536","44.5294","44.8148","45.4809","47.5741","48.0499","48.0499","49.0965","51.0946","51.5704","51.2849","51.4796","52.1056","52.1457","52.0768","52.1698","52.9094","53.28","54.0208","54.5946","55.7312","56.5726","57.2793","58.3032","59.6471","60.8524","61.761","62.9846","65.2542","66.577","67.0902","68.3296","69.9723","70.9002","72.1819","73.4531","75.6077","76.1872","75.9532","75.9648","76.0589","76.0416","75.8429","75.8869","76.4158","76.5388","75.8253","75.1165","74.7355","74.2941","74.05","73.8884","73.647","73.8037","73.7991","73.8754","74.2748","74.0984","73.6524","73.2929","73.2593","73.224","73.4538","73.683","74.396","74.9212","75.1767","75.6735","76.3314","77.419","78.6413","80.7415","82.9172","84.0352","84.38","85.2098","86.8477","87.6183","88.4226","89.7905","91.2376","92.2949","92.7171","93.9451","95.0914","95.9435","96.6801","97.7318","99.1025","99.6932","99.6303","99.8927","100.3179","100.0515","99.7379","99.2644","98.8734","98.5527","97.9788","97.5701","97.0824","96.8087","96.3506","95.9756","96.0865","95.9476","95.9744","95.9194","96.0253","96.143","96.2729","96.4828","96.6919","96.748","96.7285","96.7092","96.69","96.6009","96.2758","96.1949","96.1148","95.864","95.4375","95.1763","94.8362","94.401","93.8666","93.4158","93.6141","93.3051","92.976","92.8937","92.4098","92.2657","92.3144","91.349","92.7793","93.5422","92.5886","92.1118","92.0165","92.5886","92.7793","94.7818","95.6399","95.2585","95.926","95.6399","94.4003","94.4003","94.7818","94.0189","95.1632","95.926","96.3074","96.7842","97.1656","98.3098","98.4052","99.2634","100.503","100.8844","101.6472","102.4101","103.5543","104.5079","104.0311","104.7939","106.8917","107.4638","107.4638","109.2755","111.564","112.1362","113.7572","114.52","117.8574","119.5738","121.5762","120.3366","122.8158","124.8182","127.1067","126.916","128.8231","131.493",""
"Q","Quarterly","DK","Denmark","Q:DK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.4405","19.4405","19.4405","19.4405","21.1805","21.3605","21.9805","23.1206","24.4506","25.6006","25.7706","26.9207","28.1607","28.9507","30.3608","31.1608","31.1608","30.1008","30.4508","32.6608","34.8609","36.1009","37.7809","37.8609","39.011","39.451","40.251","41.921","42.1011","44.7511","46.4312","48.8112","50.4913","52.5213","53.8413","54.3714","55.6914","58.2515","59.1415","59.0515","57.9914","56.2214","57.1914","57.2814","56.9314","54.6314","52.6913","53.6613","53.2213","53.6613","52.4313","53.6613","58.2515","65.5816","66.4617","68.4017","72.2918","73.7918","74.5819","77.9319","81.022","84.7321","90.7323","92.9423","98.2425","98.5925","96.0324","97.4424","91.0023","90.8223","90.2023","89.3222","90.5623","90.2923","91.9723","92.6723","91.7923","91.9723","90.2023","88.8822","84.8221","85.1721","83.0521","82.5221","84.2021","85.2621","84.9121","85.5321","84.9521","84.9521","83.3321","81.182","80.112","79.572","83.3321","88.1722","93.2823","93.2823","91.9423","93.2823","95.4324","98.9225","101.3425","104.3026","105.9126","108.6027","111.8328","116.4029","119.353","122.5831","125.2731","126.6132","129.0332","134.4134","136.2934","138.4435","140.5935","142.7436","145.4336","145.7036","147.8537","151.8838","155.3839","156.7239","159.684","161.834","163.7141","162.3741","164.7841","168.0142","169.0942","169.0942","168.6728","172.2853","175.3419","175.8977","181.7332","189.7917","195.905","200.629","209.799","220.9142","237.8648","253.4261","271.4882","287.8831","293.7186","290.6619","291.7734","295.6637","296.2195","290.6619","286.7716","287.8831","280.3804","258.4279","242.033","245.0897","247.0348","245.9233","247.5906","252.8703","254.8155","252.3145","249.8136","255.3712","247.0348","238.1427","238.1427","241.7551","242.5888","241.4772","244.5339","253.4261","253.4261","249.8136","253.4261","263.1518","261.7625","260.6509","270.3767","279.5467","280.6583","280.6583","286.2158","293.4407","297.331","292.6071","298.9983","307.0568","311.225","305.3895","316.7826","321.2287","322.3402",""
"Q","Quarterly","ES","Spain","Q:ES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.42","4.57","4.62","4.67","4.61","4.77","4.91","5.04","5.54","5.5","5.97","6.34","7","7.82","8.15","8.17","8.17","8.46","8.57","8.73","8.93","9.85","10.35","10.72","11.84","13.09","14.15","15.42","16.76","18.04","18.66","18.86","18.92","18.9","19.24","19.05","19.85","20.15","20.1","19.83","20.47","21.07","20.83","20.3","20.81","21.17","21.42","22.02","24.43","25.55","25.91","26.05","26.99","27.43","27.52","27.73","29.39","30.11","30.43","30.76","31.81","33.3","35.49","38.61","43.81","46.64","49.11","52.22","55.78","58.91","61.11","63.94","69","72.56","75.97","78.04","83.18","84.59","86.25","87.74","92.7","96.4","98.65","102.95","98.3","96.07","95.78","95.31","94.52","95.94","96.67","96.81","95.92","96.23","97.38","97.11","98.67","99.9","100.56","100.87","101.25","101.97","102.03","102.22","102.42","103.22","103.76","104.54","104.93","107.24","109.4","111.61","115","118.84","122.08","122.23","126.21","129.75","131.52","131.67","137.12","141.84","144.94","146.41","155.11","164.69","168.53","171.77","181.35","193.15","198.31","203.47","214.68","226.91","231.63","238.56","248.44","258.47","262.74","268.93","278.9305","290.8661","300.3667","308.1498","315.5416","324.5639","328.064","325.7162","324.5203","323.6726","318.5201","308.6933","300.4535","299.1059","296.388","295.1925","291.4965","296.2359","291.3443","291.0182","281.1265","277.7566","267.843","253.9291","241.2543","233.4276","224.7098","221.5575","210.3392","208.6654","210.274","207.6217","206.9697","210.4045","210.8611","211.2741","210.1655","218.8616","220.3181","220.2529","223.3618","227.2968","229.1667","229.9711","235.2321","239.9933","244.4285","246.5154","249.9288","256.3205","261.9296",""
"Q","Quarterly","FI","Finland","Q:FI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.0296","17.3296","17.4496","17.7996","18.0595","17.8296","18.4595","18.6695","19.4295","19.7095","19.7995","20.7795","22.2794","24.7194","26.2093","27.4293","28.9393","30.4792","30.8492","31.3392","31.1492","31.4292","31.6692","32.8792","33.3892","33.1392","33.9692","34.3691","34.2791","34.9791","34.6891","34.6891","35.6191","36.2991","35.7491","36.1491","36.5891","37.0691","37.7491","39.259","41.349","42.5889","44.2489","44.6489","47.5088","48.4988","50.5387","51.6987","55.9886","57.6686","59.2885","62.0684","67.6183","69.2483","72.2182","75.1181","78.368","78.728","80.418","80.848","83.1779","83.1079","82.5479","83.2479","86.0078","85.3779","86.1478","88.2078","90.8877","93.9277","97.1176","103.4774","116.2871","122.8569","133.4667","146.6963","158.296","161.406","159.996","156.0361","152.4962","152.8562","150.3762","145.2864","135.5966","133.6167","127.5268","120.737","117.3471","111.1872","103.3374","97.6776","96.2676","96.9076","97.6076","100.8675","103.3374","105.0374","103.9774","102.7074","101.9275","100.8675","98.8875","98.3175","100.0875","103.6274","107.0173","111.1872","119.187","123.2869","125.1969","128.0268","131.9867","135.2366","138.8465","140.2665","142.3864","146.2763","151.5062","154.9761","157.7361","159.996","156.8861","154.6161","155.0461","156.5961","155.8961","156.5961","162.5459","167.9158","169.8958","170.2557","173.2957","176.8256","180.4355","182.8454","187.7253","192.1052","192.3252","193.3852","197.7251","203.4091","207.4692","211.5293","212.9503","217.0104","219.6494","223.1004","226.3485","230.0026","232.2356","232.2356","233.8596","236.2957","233.0476","223.1004","221.0704","227.7695","234.0626","238.8017","244.3307","246.4371","249.07","249.07","252.2294","256.9687","256.1788","254.8623","259.0748","261.7078","261.7078","262.2344","264.0775","265.1304","264.604","263.0243","263.5509","264.604","263.2876","261.7078","262.761","263.8142","263.5509","263.0243","262.761","265.9203","264.8673","264.3408","268.0267","270.3963","268.8165","267.5001","267.7634","272.2392","",""
"Q","Quarterly","FR","France","Q:FR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.66","14.93","15.28","15.24","15.24","15.68","16.31","16.46","16.55","17.07","17.81","18.03","18.16","18.8","19.72","20.15","20.68","21.59","22.75","23.19","23.29","24.14","25.34","25.96","26.56","27.95","29.58","30.32","30.89","32.27","33.99","34.69","35.03","36.16","37.67","38.33","38.86","40.47","42.84","44.36","46.15","48.88","51.89","52.65","53.16","54.75","56.74","56.83","56.6","57.87","59.75","59.69","59.42","60.8","62.85","62.79","62.3","63.33","64.97","64.84","64.26","65.37","67.14","67.09","66.92","68.28","70.29","70.64","70.74","72.76","75.75","76.52","77.33","80.27","84.35","85.78","87.14","90.34","94.33","95.43","95.86","98.68","102.32","102.7","102.71","104.85","107.17","105.59","102.65","102.37","103.46","101.83","100.19","100.69","102.4","101.14","99.62","100.6","102.39","101.08","98.83","99.59","101.42","100.16","99.11","100.3246","102.2679","101.7821","97.8954","100.8104","101.7821","101.2963","99.5958","102.025","104.4542","103.9683","105.4258","108.0979","112.4704","112.7133","114.4138","117.7718","121.8494","121.3697","122.8089","126.6467","130.2446","130.7243","131.9236","136.481","141.9978","143.4369","146.3153","151.8321","158.3083","160.9468","166.2238","172.9399","181.335","185.6525","191.4092","199.5644","208.919","212.9967","217.7939","224.51","231.7058","233.6247","235.3038","239.3814","244.8982","246.5772","244.8982","245.6178","246.3374","237.9422","229.0674","225.9492","229.5471","230.2667","231.9457","236.7429","243.459","246.3374","247.7765","252.8136","258.0906","255.4521","252.094","252.3339","254.0129","250.415","247.2968","246.8171","248.9758","246.3374","243.459","243.9388","245.6178","240.8206","238.4219","238.6618","242.0199","240.101","239.1415","240.3408","245.6178","244.1786","245.6178","248.0164","253.5332","252.094","252.8136","254.9724","260.729",""
"Q","Quarterly","GB","United Kingdom","Q:GB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.5099","6.6908","6.6908","6.6908","6.8716","6.8716","7.0524","7.0524","7.0524","7.4141","7.4141","7.5949","7.7758","8.3183","8.6799","9.2224","10.1266","11.5732","12.4774","13.9241","14.6474","15.5515","15.7324","15.9132","15.9132","16.094","16.2749","16.4557","16.8174","17.3599","17.5407","17.9024","18.4448","18.8065","19.1682","19.1682","19.5298","20.0723","20.7957","21.1573","22.2423","23.689","25.4973","26.7631","28.9331","31.1031","33.0922","34.5389","35.8047","37.2514","37.4322","37.4322","38.5172","39.0597","38.3363","37.4322","39.0597","39.9638","40.5063","41.7722","43.2188","45.0271","45.3888","45.7505","47.1971","49.0054","49.7288","49.7288","51.5371","52.6221","54.4304","55.5154","58.047","60.5787","62.387","64.1953","67.0886","70.3436","74.6835","77.7577","82.4593","93.3092","99.0958","101.2658","104.8825","108.4991","106.3291","104.1591","103.255","105.0633","103.4358","101.9892","101.6275","103.6166","102.7125","101.085","98.5533","98.915","95.1175","95.66","96.3834","98.3725","96.5642","97.6492","98.915","100.7233","100","99.0958","100.1808","101.085","99.6383","101.085","101.2658","105.2441","107.0524","108.4991","110.6691","116.2749","115.5515","118.4448","124.774","130.1989","129.4756","130.3797","135.8047","143.7613","147.5588","151.1754","159.4937","162.5678","167.2694","166.5461","172.5136","178.6618","175.0452","180.8318","195.66","208.8608","219.1682","223.1465","230.0181","236.3472","241.2297","243.3996","257.6854","269.0778","270.8861","265.3109","273.0157","279.7154","280.0504","282.0604","292.78","301.8247","307.5195","311.8743","323.9339","332.9786","332.6436","323.5989","321.589","308.8594","288.4251","273.6856","277.3705","288.0902","293.785","294.7899","300.1497","304.5046","297.8048","292.445","294.7899","298.1398","294.12","291.1051","296.4649","299.8148","297.1348","295.1249","301.1547","308.5245","310.1994","314.2193","325.6089","335.9935","336.6635","335.6585","342.6933","354.0829","358.4378","362.1226","370.1624","377.8671","377.5321","378.2021","386.5768","395.2865","394.9515","393.9465","398.9714","407.3461",""
